accession_name,Treatment,Root weight,Shoot weight,Root length,Shoot length,Root Na+,Root K+,Shoot Na+,Shoot K+,SES,Chlorophyll A,Chlorophyll B
IRGC 26367,Stress,109,990,10,52,0.071661688,0.005202527,0.196596001,0.024270717,3,0.018948854,0.01817192
IRGC 29083,Stress,50,167,6,32,0.071208098,0.019843924,0.123260199,0.032337895,9,0.002443694,0.00276336
IRGC 38320,Stress,105,612,11.5,50,0.071208098,0.012411743,0.106581159,0.034044186,6,0.023583612,0.02500962
IRGC 77267,Stress,95,483,11,41,0.070341022,0.018998514,0.128389225,0.036705875,5,0.018555072,0.01381882
IRGC 79342,Stress,65,370,6.75,43,0.070341022,0.016675957,0.140682044,0.044964697,7,0.009060194,0.00905162
IRGC 37272,Stress,66,564,9,50.5,0.070341022,0.016675957,0.093471767,0.053237038,7,0.019375518,0.0188163
IRGC 31655,Stress,50,470,6.5,38.5,0.070341022,0.015514679,0.105263555,0.026097091,5,0.01281195,0.0070195
IRGC 8497,Stress,104,537,7.5,42,0.070341022,0.015514679,0.096133808,0.039667107,4,0.022468832,0.02268662
IRGC 29333,Stress,,,,,0.070341022,0.0143534,0.121362983,0.03996862,9,0.00550573,0.00593678
IRGC 37478,Stress,101,478,9.5,48,0.070341022,0.0143534,0.114189089,0.031010136,7,0.012307492,0.00713262
IRGC 38456,Control,66,666,5.5,56.5,0.070154331,0.057413601,0.010414548,0.003567447,,0.019341834,0.01860622
IRGC 29377,Stress,24,123,4.5,37,0.070154331,0.010126347,0.216433915,0.03701798,8,,
IRGC 43862,Stress,105,602,7.5,43,0.070154331,0.00780379,0.190092931,0.024897808,7,0.017190068,0.01645896
IRGC 29031,Stress,92,346,8,41,0.070053577,0.010856293,0.137383395,0.028384607,8,0.011987494,0.0122816
IRGC 26802,Stress,57,400,12,37.5,0.069548623,0.017985879,0.112667801,0.034314539,6,0.015152988,0.0143925
IRGC 28947,Stress,,,,,0.068986772,0.010192706,0.119455039,0.043191939,,,
IRGC 38149,Stress,125,873,9.75,52,0.068895896,0.012944383,0.114842485,0.034809911,4,0.021196058,0.0208565
IRGC 27522,Stress,105,481,10,42,0.068895896,0.00984764,0.147094074,0.026735208,6,0.01294829,0.01181498
IRGC 79342,Stress,2,5,3.5,6.5,0.068895896,0.008299269,0.173895575,0.021318625,9,,
IRGC 29297,Stress,69,409,10.5,48,0.068266678,0.018998514,0.13693865,0.041734557,7,0.017421044,0.0164933
IRGC 8855,Stress,38,173,4.5,30.25,0.068266678,0.0143534,0.165494976,0.026350461,8,0.007328676,0.007373
IRGC 66831,Stress,75,329,11.5,38,0.068266678,0.010869565,0.106612088,0.037904125,7,0.016514784,0.01587114
IRGC 31801,Stress,64,412,9.75,46,0.068266678,0.010869565,0.084718357,0.024678653,8,0.010119636,0.0100293
IRGC 37550,Stress,90,471,10.5,38,0.068266678,0.00738573,0.143118558,0.026012635,5,0.015824262,0.01510354
IRGC 49375,Stress,90,363,6,32,0.06790021,0.011117305,0.162737427,0.037648263,7,,
IRGC 77285,Stress,44,183,7,39.4,0.067889147,0.014269788,0.099195154,0.031029357,5,0.013415856,0.00751844
IRGC 49094,Stress,119,978,6.5,52,0.067889147,0.014269788,0.086119869,0.043276973,4,0.019327398,0.01861228
IRGC 29377,Stress,37,170,5,39,0.067889147,0.012411743,0.10589333,0.029308036,8,0.005759964,0.00568226
IRGC 31841,Stress,113,742,13,47.5,0.06763746,0.013439861,0.110424273,0.034477063,5,0.02102042,0.0205232
IRGC 37182,Stress,84,499,9,49,0.066254564,0.377183203,0.103803914,0.035164201,,,
IRGC 8840,Stress,50,224,6,35.5,0.066254564,0.021181717,0.149054099,0.034113712,9,0.00574232,0.00606202
IRGC 86973,Stress,40,239,5,38.25,0.066254564,0.008020562,0.093539108,0.028985507,8,0.00865358,0.00890012
IRGC 37596,Stress,53,297,8.5,36,0.066229671,0.00776663,0.13326511,0.042218919,8,0.01488512,0.0140794
IRGC 49333,Stress,58,293,8,44.5,0.066192333,0.031772575,0.12500254,0.027226052,,,
IRGC 26638,Stress,88,410,10.5,46.25,0.066192333,0.0143534,0.151296762,0.038116473,6,0.015757696,0.01082518
IRGC 29230,Stress,34,127,9,25.75,0.066192333,0.010869565,0.153560761,0.034373839,9,0.003366796,0.0038077
IRGC 37596,Stress,83,552,9,42,0.066192333,0.00738573,0.005346928,0.012897021,6,0.014856248,0.01407536
