accession_name,Treatment,Root weight,Shoot weight,Root length,Shoot length,Root Na+,Root K+,Shoot Na+,Shoot K+,SES,Chlorophyll A,Chlorophyll B,Root thickness,Shoot thickness
IRGC 76237,Control,158.0,1245.0,8.5,63.5,0.188587549,1.54960981,0.00524256,0.007980305,,0.015553988000000001,0.01484094,18.58823529411765,19.606299212598426
IRGC 6534,Stress,56.0,363.0,6.0,47.5,0.173498175,0.015607581,0.135784151,0.022843027999999998,8.0,0.009227812,0.00877892,9.333333333333334,7.6421052631578945
IRGC 27547,Control,40.0,396.0,6.5,44.0,0.16520079699999998,0.029542921,0.016544971999999998,0.001012635,,0.014986973999999998,0.01463086,6.153846153846154,9.0
IRGC 37550,Stress,39.0,723.0,8.75,44.0,0.16520079699999998,0.024897807999999997,0.17617207199999999,0.022056796,5.0,0.017016034,0.01783862,4.457142857142857,16.431818181818183
IRGC 26367,Stress,75.0,515.0,7.75,43.6,0.16520079699999998,0.024897807999999997,0.15438654699999999,0.041372476,4.0,0.016122606,0.01522878,9.67741935483871,11.811926605504587
IRGC 29009,Stress,60.0,345.0,9.5,41.0,0.16142549,0.05657748,0.165325257,0.051715595,6.0,0.020321878,0.03075652,6.315789473684211,8.414634146341463
IRGC 26624,Stress,,,,,0.15690341900000002,0.024897807999999997,0.17756389,0.024011663,,,,,
IRGC 37346,Stress,61.0,240.0,7.0,37.0,0.15690341900000002,0.020252693999999998,0.131064,0.024619101,8.0,0.00667264,0.00647814,8.714285714285714,6.486486486486487
IRGC 26624,Stress,,,,,0.15690341900000002,0.015607581,0.262529041,0.0393534,,,,,
IRGC 53483,Stress,20.0,40.0,3.5,19.5,0.15690341900000002,0.015607581,0.229339529,0.031921219,9.0,0.00062957,0.00077568,5.714285714285714,2.051282051282051
IRGC 8667,Stress,70.0,301.0,7.0,41.0,0.153027358,0.012183468999999999,0.066699274,0.046222952000000005,9.0,0.0036322579999999998,0.00396324,10.0,7.341463414634147
IRGC 49375,Stress,109.0,463.0,7.5,33.5,0.148979423,0.02173913,0.13326511,0.031896445,6.0,0.02158984,0.02132918,14.533333333333333,13.82089552238806
IRGC 29260,Control,,,,,0.14860604,0.029542921,0.014709406999999999,0.00287068,,,,,
IRGC 8742,Stress,70.0,360.0,8.0,30.75,0.14860604,0.024897807999999997,0.229652985,0.027664231,7.0,0.01299641,0.00806182,8.75,11.707317073170731
IRGC 53484,Stress,80.0,617.0,9.5,42.5,0.14860604,0.015607581,0.20650099600000002,0.019509476,7.0,0.017408212,0.01789518,8.421052631578947,14.51764705882353
IRGC 6046,Stress,65.0,366.0,10.5,47.0,0.14483073300000002,0.028706799999999998,0.121884116,0.030217685,7.0,0.01570717,0.01500456,6.190476190476191,7.787234042553192
IRGC 26638,Stress,101.0,390.0,10.75,45.5,0.140682044,0.028706799999999998,0.150864771,0.029646146,6.0,0.021833647999999997,0.02242402,9.395348837209303,8.571428571428571
IRGC 29260,Control,35.0,654.0,7.0,62.0,0.140308662,0.029542921,0.009052044,0.0014771460000000001,,0.016874882,0.0177053,5.0,10.548387096774194
